headline,date,doc_type,material_type,section,keywords
Tiny Island of Réunion Awash in Intrigue Over Vanished Malaysian Plane,2015-08-02,article,News,,"['Malaysia Airlines Flight 370', 'Aviation Accidents, Safety and Disasters']"
Martin O’Malley Calls for Criminal Justice Overhaul Amid Racial Tensions,2015-08-02,article,News,,['Presidential Election of 2016']
A Peek Inside Universal Studios,2015-08-02,multimedia,Slideshow,,[]
What’s On TV Sunday,2015-08-02,article,Schedule,,['Television']
‘Poster Child’ for New York’s Paid Sick Leave Law Failed to Follow It,2015-08-02,article,News,,"['Paid Time Off', 'Restaurants', 'Labor and Jobs']"
Animals on the Empire State Building,2015-08-02,multimedia,Video,,"['Empire State Building (Manhattan, NY)', 'Lighting', 'Endangered and Extinct Species', 'Art', 'Documentary Films and Programs']"
2 Proud Daughters of the Bronx Share More Than a Name,2015-08-02,article,News,,"['Museums', 'Philanthropy']"
Kerry Warns Egypt Human Rights Abuses Can Hurt Fight Against Terrorism,2015-08-02,article,News,,"['Human Rights and Human Rights Violations', 'Terrorism', 'United States International Relations']"
France and Britain Seek Help on Calais Migrants From E.U.,2015-08-02,article,News,,"['Middle East and Africa Migrant Crisis', 'Refugees and Displaced Persons']"
Eric Schlosser to Publish Book on American Prison System,2015-08-02,article,News,,"['Books and Literature', 'Mandatory Sentencing', 'Prisons and Prisoners']"
Donald Trump Campaign Fires Adviser Linked to Racially Charged Facebook Posts,2015-08-02,article,News,,['Presidential Election of 2016']
"Review: ‘The Economics of Inequality,’ by Thomas Piketty",2015-08-02,article,Review,,"['Books and Literature', 'Income Inequality', 'Income', 'Wages and Salaries', 'Economic Conditions and Trends']"
Freshwater’s Wrong Turn (Wonkish),2015-08-02,article,News,,[]
Puerto Ricans Brace for Crisis in Health Care,2015-08-02,article,News,,"['Medicaid', 'Medicare', 'Federal Budget (US)', 'Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)']"
Political Consultant for Uber to Advise Other Start-Ups,2015-08-02,article,News,,"['Lobbying and Lobbyists', 'Start-ups']"
"Dr. Dre to Release ‘Compton A Soundtrack,’ His First Album in 16 Years",2015-08-02,article,News,,['Rap and Hip-Hop']
South Street Seaport’s Culture District Converts Stores to Art Galleries,2015-08-02,article,News,,"['Art', 'Hurricane Sandy (2012)']"
"Jerry Berrigan, a Catholic Peace Activist, Dies at 95",2015-08-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Demonstrations, Protests and Riots']"
Zimbabwe Officials Say Another American Illegally Killed a Lion in an Authorized Hunt,2015-08-02,article,News,,"['Poaching (Wildlife)', 'Lions', 'Hunting and Trapping']"
D.E.C. Commissioner’s Email to Adirondack Council,2015-08-02,multimedia,Interactive Feature,,"['Environment', 'Mines and Mining', 'Land Use Policies']"
Letter From D.E.C. Commissioner,2015-08-02,multimedia,Interactive Feature,,"['Environment', 'Mines and Mining', 'Land Use Policies']"
Adirondack Council Opposes Proposed Constitutional Amendment,2015-08-02,multimedia,Interactive Feature,,"['Constitutional Amendments', 'Environment']"
Board of Elections Email,2015-08-02,multimedia,Interactive Feature,,['Environment']
D.E.C. Position Paper on the Land Swap,2015-08-02,multimedia,Interactive Feature,,"['Environment', 'Mines and Mining', 'Land Use Policies']"
A Thank You Email for Helping With the Amendment,2015-08-02,multimedia,Interactive Feature,,['Environment']
Piketty’s “New” Book,2015-08-02,article,News,,[]
A Thank You Email From NYCO Minerals,2015-08-02,multimedia,Interactive Feature,,"['Environment', 'Constitutional Amendments', 'Mines and Mining', 'Land Use Policies']"
